,census_tract,lat,lon,ZCTA5,pop9,median_fam_inc_9,median_hh_inc_9,median_house_value_9,median_rent_9,median_fam_inc_0,median_hh_inc_0,median_house_value_0,median_rent_0,median_fam_inc_1,median_hh_inc_1,median_house_value_1,median_rent_1,rent_units_9,rent_units_0,rent_units_1
1839,36081067100,40.7244752,-73.8781025,11379.0,2133,55934,44833,213778,737,78325,53136,238927,995,64145,61758,545900,1288,57,133,92
1840,36081067700,40.7191106,-73.8724306,11379.0,1708,50486,40417,229400,697,80871,65982,271200,874,91379,71129,623600,1232,156,140,170
1841,36081067900,40.7241195,-73.87019790000001,11379.0,3906,31827,27829,225300,468,41514,35430,246500,642,66680,54281,574000,1045,1221,1213,1235
1842,36081068000,40.6637001,-73.7501194,11413.0,3970,49767,47521,160100,864,70250,66071,173300,974,90192,73424,455200,1632,174,308,516
1843,36081068200,40.6677913,-73.75040809999999,11413.0,1193,58011,58338,164200,654,65000,63548,184900,1167,108382,73068,433200,1658,93,97,114
1844,36081068300,40.7349475,-73.8688355,11373.0,4892,35937,32833,14902,617,42497,40150,286324,792,55538,49167,203200,1145,1271,1274,925
1845,36081068700,40.73025139999999,-73.86926059999999,11374.0,3625,38750,30680,225200,553,47950,39308,227700,838,75156,65381,476900,1272,1123,1193,1175
1846,36081069000,40.6603597,-73.75543959999999,11413.0,2760,50200,45040,151400,831,55521,51131,181700,965,93419,75559,452800,1494,228,362,441
1847,36081069300,40.728826,-73.8632814,11374.0,2224,41979,30741,222200,566,42315,38353,232700,871,56534,51127,307900,1205,971,964,902
1848,36081069400,40.6559253,-73.7500615,11413.0,2448,57379,56360,157600,893,51107,51229,175100,972,97955,80208,529400,1433,209,349,460
1849,36081069500,40.726063200000006,-73.86753940000001,11374.0,2252,51830,45476,242300,629,61970,52031,278500,823,84063,61406,636200,1376,478,513,440
1850,36081069701,40.7268101,-73.8602671,11374.0,2849,31281,28101,214400,553,33229,31832,185700,820,55982,47075,280700,1246,1291,1295,1332
1851,36081069702,40.7222427,-73.8628715,11374.0,3834,49122,37382,253900,546,65000,55048,316800,857,80036,67821,650300,1326,774,792,584
1852,36081070300,40.7162763,-73.8593342,11374.0,2165,52645,43696,232200,645,62059,52019,256800,848,73318,68393,573800,1414,411,370,258
1853,36081070700,40.7150576,-73.85555450000001,11375.0,2341,64400,55652,248279,858,68818,58948,282055,1075,105625,82454,595800,1539,182,218,179
1854,36081070900,40.7192676,-73.85501359999999,11375.0,2050,53723,48423,250327,948,76648,61077,281565,845,123375,102583,588800,1541,314,471,365
