,tract,entropy_index_9,entropy_index_0,entropy_index_1,inc_9,rent_9,inc_0,rent_0,inc_1,rent_1,r_units_9,r_units_0,r_units_1,ratio_rent_inc_9,ratio_rent_inc_0,ratio_rent_inc_1,entropy_9_0,rent_9_0,inc_9_0,rent_units_9_0,rent_burden_9_0,entropy_0_1,rent_0_1,inc_0_1,rent_units_0_1,rent_burden_0_1,rich_9,rich_0,rich_1,rich_all
260,36005038000,0.8865422068888413,0.8674894397695689,0.8827862974353916,0.35315503760147415,0.43017456359102246,0.19800916701514443,0.410466067048242,0.16757276826596498,0.38086854460093894,0.2783305693753455,0.29601571268237936,0.33953621528771827,0.28441437587614354,0.47217251346049494,0.4867450745476724,0.46005772403061984,0.4907141623875439,0.18193114565178045,0.36286845575668314,0.6466592730077401,0.5674405579253101,0.5169283202557505,0.30868020699570614,0.14142389613176673,0.49389283886492263,2.0,3.0,4.0,3.0
261,36005038100,0.5959048408686102,0.6433735464171045,0.7730330434906637,0.08141590716669157,0.3491271820448878,0.06334095884682557,0.3802125919869174,0.1353530318661829,0.36913145539906106,0.5193477059148701,0.5140291806958474,0.5588319496135128,0.8488112331958875,0.9696825991189589,0.5662553328898765,0.5155465065745912,0.5718036201348787,0.3657735851730043,0.32691340596572366,0.462219669956054,0.6069908858401505,0.5398921169989508,0.6568791258228197,0.131944571334811,0.26944431245042794,4.0,4.0,4.0,4.0
262,36005038200,0.8303245162295293,0.8606142541828906,0.9524449698624741,0.4394641167388814,0.6109725685785536,0.26159611016817125,0.4963205233033524,0.21489097801013132,0.5598591549295775,0.06246545052515202,0.10549943883277217,0.1437160034354423,0.32244185805612535,0.43576722556583536,0.5413960171602843,0.49797380373625433,0.3917548494238471,0.19649755620375164,0.6618947980515334,0.5195235025944971,0.6250298690469741,0.6185464125297984,0.30294700304714767,0.17567020135827477,0.595643997750629,2.0,2.0,3.0,2.0
263,36005038301,0.552632077940748,0.5866528498270607,0.7393845390736308,0.09684247223467304,0.32169576059850374,0.04344902795201666,0.31888798037612426,0.09986437455805812,0.3873239436619718,0.33056937534549474,0.33024691358024694,0.40767248783280846,0.7205112316501437,0.9881615309769692,0.7360895888150296,0.5036031717341576,0.49997295562135047,0.21861215730693861,0.33203190089892565,0.5941140075454079,0.6136306268954186,0.6566883929292114,0.6007021145671981,0.15314471300980576,0.3679587709297218,4.0,4.0,4.0,4.0
264,36005038302,0.5585821639974756,0.5926928255165308,0.5832250761535035,0.09684247223467304,0.32169576059850374,0.04344902795201666,0.31888798037612426,0.06679842813590364,0.3427230046948357,0.5052515201768933,0.5056116722783389,0.5393644431720584,0.7205112316501437,0.9881615309769692,0.8659940470308062,0.5036192106613019,0.49997295562135047,0.21861215730693861,0.33212995072137136,0.5941140075454079,0.4644368353545801,0.5915287755266769,0.42196712069410075,0.12916047268804884,0.44826250532372297,4.0,4.0,4.0,4.0
265,36005038500,0.4653425434756806,0.5793579415123853,0.6547553201552628,0.06339957169181733,0.3104738154613466,0.037758591001894076,0.29844644317252655,0.09095018952786117,0.3444835680751174,0.28689883913764513,0.3280022446689113,0.3945032922988835,0.881811415251904,0.9871122810620738,0.7179184494302502,0.5865295265697447,0.47815771676909374,0.3094912013917403,0.40044338190643286,0.4490824886453603,0.5391442466021577,0.6279360993479238,0.5884584614912494,0.14880349734947018,0.3571723043754077,4.0,4.0,4.0,4.0
266,36005038600,0.9228750647832393,0.9190714679818506,0.927883039405054,0.30849394890183773,0.3690773067331671,0.22886379848965635,0.4186426819296811,0.2037743285381432,0.45422535211267606,0.5259812050856827,0.5460157126823794,0.5737188663040367,0.28586184378803187,0.41818873759788233,0.473879344841873,0.4720285668391656,0.608161591985005,0.3112517895649573,0.3497558643095569,0.5587689493931984,0.5746647797115111,0.5959768786427436,0.3358866229382372,0.1268215445554191,0.5356583672297373,3.0,3.0,3.0,3.0
267,36005038700,0.7595678253023784,0.642890701894321,0.7400501393449903,0.18901588724538074,0.32169576059850374,0.05548586000213186,0.3466884709730172,0.1253665944103771,0.41960093896713613,0.28579325594250965,0.31341189674523007,0.3063269395934727,0.4296331956363917,0.955544157700673,0.6646790558281924,0.377150659827981,0.5570281956964837,0.06419663789463052,0.3784359225552657,1.0,0.5777573670363328,0.6561856095537094,0.6565000396820934,0.11795216273193036,0.3371335212022066,4.0,4.0,4.0,4.0
268,36005038800,0.7964918026473473,0.808184900350373,0.9312393390470307,0.466059066686588,0.4937655860349127,0.296050311990095,0.4063777596075225,0.3175432088747725,0.48063380281690143,0.09314538419016032,0.10774410774410774,0.13312338963641568,0.2263154195585249,0.3046640057353024,0.3227103879433751,0.4832035443725126,0.39689883765804224,0.22358761763879662,0.4110162598750982,0.48497595711374397,0.638822338172568,0.645061950700253,0.4462429685725119,0.1583712245990183,0.4685642051412793,2.0,2.0,2.0,2.0
269,36005038900,0.4993527504121076,0.7483480668249951,0.7482791048426564,0.07946112854225808,0.300498753117207,0.1099795833025853,0.35731807031888796,0.10772369503981824,0.38438967136150237,0.3629076838032062,0.38439955106621776,0.4786716289722302,0.7679142523818795,0.6678464432957869,0.6938500283728798,0.7182351765036519,0.6226042497519976,0.6026331558333342,0.36029594277321,0.29264794838780733,0.5235847616243684,0.591702418744272,0.3430945000290208,0.15427864745612616,0.5239748076664471,4.0,4.0,4.0,4.0
270,36005039000,0.9013430255242034,0.8401263360629073,0.813233760892115,0.30836944070919864,0.4077306733167082,0.2989939241876368,0.4268192968111202,0.1464928651744004,0.45305164319248825,0.10475400773908236,0.14001122334455668,0.18637274549098196,0.31861226717391306,0.3183345156460811,0.626403765620648,0.42847882299659734,0.5547738869550316,0.4646761643935364,0.4946767433965915,0.3530135518595223,0.5276316849610517,0.5839811078865683,0.11986333849291676,0.1696592207319651,0.8930270701980284,3.0,2.0,4.0,3.0
271,36005039100,0.6075345699613734,0.6653335045466674,0.5520876782796871,0.09406593953882166,0.29925187032418954,0.07717347633221,0.31479967293540473,0.0623065598664611,0.3949530516431925,0.5384190160309563,0.5625701459034792,0.644145433724592,0.6940857767635426,0.7483631849408579,1.0,0.5247848329449072,0.5342085494405856,0.38041231944878534,0.3529275063708347,0.416841340266733,0.3983194329413001,0.6750034487281543,0.26496017589878096,0.13977455129755997,0.7045963942501581,4.0,4.0,4.0,4.0
272,36005039200,0.8739439933199313,0.9039100318410918,0.8411041364671178,0.2707306140744061,0.36159600997506236,0.2218614452397937,0.43417825020441536,0.3127963184068068,0.3914319248826291,0.10862354892205639,0.11868686868686869,0.12625250501002003,0.32835806175166826,0.44783924921222373,0.27178147290707366,0.4974645468337942,0.6520171257564934,0.3650811687228177,0.3800635328436195,0.5270351639232155,0.5171574636818299,0.5021716708003435,0.6041809654229789,0.1343803878632285,0.27085587527270305,3.0,3.0,2.0,3.0
273,36005039300,0.4602154071007005,0.5310484730038479,0.5486878511105844,0.05887992429901887,0.24937655860349128,0.033576857796472584,0.27800490596892885,0.04833829853825913,0.29401408450704225,0.7404643449419569,0.7718855218855218,0.8442599484683653,0.7815947913946598,0.9720354064479503,0.9215156598222244,0.5425832729551275,0.5564220911959231,0.3057755107227647,0.3514537233834346,0.5213087372521135,0.4670586365053886,0.5843092950446696,0.36856166299364423,0.13228343354656344,0.49130183050270787,4.0,4.0,4.0,4.0
274,36005039400,0.8668461576133216,0.907112421875987,0.9450582550545956,0.23487225459435232,0.36034912718204487,0.1813314310546987,0.35404742436631237,0.23539708115501873,0.3884976525821596,0.36456605859590935,0.3653198653198653,0.37732608073289436,0.3834801864832038,0.44350302319607815,0.3622877197723288,0.5054451224877573,0.5011111419962508,0.3372311196765867,0.33328113091322914,0.4365772135307997,0.593820935140643,0.602105199345346,0.5259047586819969,0.12516999185905198,0.37871288776065853,3.0,3.0,3.0,3.0
275,36005039500,0.2969139219634177,0.591635009176128,0.8359688422172395,0.03593306439563723,0.20324189526184538,0.045835075722168925,0.3098937040065413,0.15636917940811665,0.2529342723004695,0.2197346600331675,0.25140291806958476,0.3401087890065846,0.828546469223022,0.9464979778031353,0.3778478310853142,0.8164057982475226,0.755485573555567,0.4985178225054891,0.40147668690225863,0.46138219079307796,0.7001094522932745,0.47231344214675103,0.8858419656534477,0.17016499494070586,0.15708153228585217,4.0,4.0,4.0,4.0
276,36005039600,0.8999295379785719,0.9129163288550339,0.8731507176396283,0.3926241346680612,0.4613466334164589,0.16378455054567517,0.39247751430907607,0.20397139114609295,0.562206572769953,0.23189607517965727,0.25084175084175087,0.27139994274262813,0.2673659243703199,0.5357308153597587,0.5692298302291723,0.4844911913018351,0.4165024483677989,0.07437160123272386,0.3718904123697666,0.7874700523130582,0.5368218781772968,0.7687172088142707,0.4903073619903614,0.1330183038454143,0.5208411195116188,2.0,3.0,3.0,3.0
277,36005039700,0.5865295288160838,0.6066765037924137,0.5712990487777934,0.061681358633398076,0.23940149625935161,0.0647348699152994,0.2804578904333606,0.052766411258070876,0.27230046948356806,0.1265892758430072,0.14898989898989898,0.1397079874033782,0.7440230141077482,0.749279954910843,0.8376387213083029,0.49029858623092143,0.5852507074983542,0.46326328150573015,0.41887743915807935,0.3757590260456277,0.44570051472429745,0.5456438982064076,0.26269946601726246,0.1157297290494708,0.5775322156484769,4.0,4.0,4.0,4.0
278,36005039800,0.8577769951213482,0.9812854014769224,0.9467477126144888,0.39114248717565614,0.5286783042394015,0.2476160020990661,0.45298446443172524,0.3012275841283457,0.45598591549295775,0.11857379767827529,0.10634118967452301,0.15316346979673634,0.3160820030529009,0.418777047436633,0.3250241820584031,0.5700700385039773,0.42451789417942726,0.22830970488524616,0.28764178472671964,0.505315404842364,0.5572197065440543,0.5553810073102018,0.5129944567268789,0.1861765293147115,0.3551481317258346,2.0,3.0,2.0,2.0
281,36005040100,0.7322055385684508,0.8308737477670678,0.8007267125875966,0.1801882563872703,0.37032418952618457,0.12400888823293074,0.4178250204415372,0.13532405207089618,0.42488262910798125,0.37921503593145384,0.4074074074074074,0.3945032922988835,0.508825825486331,0.7056349484854135,0.6330668094132487,0.5560754163910242,0.6042945465430397,0.29545818128358253,0.3673671146423418,0.5769401583480461,0.5225444608982054,0.5615319865476252,0.3970318150090216,0.1160307303516994,0.44602579350359967,4.0,4.0,4.0,4.0
282,36005040302,0.6853413596730995,0.6972529758571643,0.5659645448179988,0.16107624881717217,0.39526184538653364,0.07790322977394042,0.38266557645134913,0.0626775012461312,0.3626760563380282,0.39054726368159204,0.36784511784511786,0.3830518179215574,0.5929517819655701,0.8763631549360849,0.9354769857580675,0.4830103538863567,0.49635198359874233,0.188226877016718,0.3047087570248635,0.6413876575168309,0.3951285171521389,0.5283864837403199,0.2642685761415171,0.12631925781772876,0.5580497408652111,4.0,4.0,4.0,4.0
283,36005040303,0.6966804387200339,0.7227214777553843,0.7167320884267577,0.14256188057174163,0.4027431421446384,0.11885141727957756,0.40065412919051513,0.11256911681175884,0.3720657276995305,0.4007739082365948,0.40824915824915825,0.3890638419696536,0.6633551081890253,0.7002789086029981,0.6554819462422034,0.4952127996984712,0.5165331065719503,0.38117633937994205,0.3409543624901873,0.40223585766918524,0.5110057450132115,0.5178706217783259,0.3342026151300042,0.11391669405405808,0.467993637630711,4.0,4.0,4.0,4.0
284,36005040304,0.6987256717150142,0.7259313506081563,0.9274905794297713,0.14256188057174163,0.4027431421446384,0.11885141727957756,0.40065412919051513,0.16098276281776344,0.4688967136150235,0.3106688778330569,0.3159371492704826,0.33266533066132264,0.6633551081890253,0.7002789086029981,0.5968474020705314,0.49620405437329085,0.5165331065719503,0.38117633937994205,0.34063107894405387,0.40223585766918524,0.6873912895304917,0.638683761804827,0.5025123897250315,0.1283128337082991,0.4198634430059375,4.0,4.0,4.0,4.0
285,36005040400,0.8577207257396054,0.8834945104654648,0.9365201750422565,0.4564096817570596,0.5461346633416458,0.27268180290097493,0.5903515944399019,0.28938064381513207,0.5463615023474179,0.08402432283029299,0.14870931537598203,0.15201832235900373,0.2662489507483624,0.5024464525060551,0.3994688512206552,0.49430752174306114,0.6022789033422787,0.19658186301818864,0.6985036176277133,0.7357279006412359,0.6000683199331343,0.5078521658917887,0.4354167017637227,0.12725898440184158,0.37325106549917314,2.0,2.0,2.0,2.0
286,36005040501,0.7841409201967464,0.7596618722716527,0.7932708803916633,0.1591463718312665,0.3740648379052369,0.11817906017596078,0.3769419460343418,0.1269083195196309,0.37734741784037557,0.3236594803758983,0.3282828282828283,0.3549957056971085,0.5707924924952454,0.6657896083871188,0.6057175125441788,0.45378849507434077,0.5209544910779795,0.3302965420848748,0.3392831919092024,0.4610238878131094,0.5546674856069523,0.5548869463888108,0.3861402369730242,0.1321149335249296,0.4502898582071278,4.0,4.0,4.0,4.0
287,36005040502,0.7850874989059499,0.7635353122828432,0.7076289081789485,0.1591463718312665,0.3740648379052369,0.11817906017596078,0.3769419460343418,0.10210741071325072,0.4524647887323944,0.5646766169154229,0.5735129068462402,0.574291440022903,0.5707924924952454,0.6657896083871188,0.8186337527414178,0.4561849732957728,0.5209544910779795,0.3302965420848748,0.33905554483880085,0.4610238878131094,0.4819312099764064,0.652751840305326,0.29964478558461666,0.11993222750360437,0.6322077687681262,4.0,4.0,4.0,4.0
288,36005040600,0.8482933418842131,0.783777214731546,0.9129763666014122,0.23884406593953883,0.46508728179551123,0.16996695610820028,0.42109566639411283,0.2582447517590736,0.47417840375586856,0.23383084577114427,0.2382154882154882,0.24849699398797595,0.4829080020252619,0.5550462096682635,0.39344781134824547,0.4239395686098898,0.45786633651313446,0.2989494493723412,0.34217367192437165,0.4439758571454245,0.6387426322678128,0.6167847688175222,0.6243258247984447,0.1278843480678343,0.3305640668930706,3.0,3.0,3.0,3.0
289,36005040701,0.7234323167599382,0.684886649745737,0.7407279805417041,0.15508740475123264,0.39650872817955113,0.09291647192909093,0.4170073589533933,0.10363174794533252,0.44366197183098594,0.32669983416252074,0.31846240179573515,0.32121385628399657,0.6130513027516099,0.8523549588794103,0.7977269806035084,0.4404928696711107,0.5561840005167359,0.25377049543332797,0.3206064097212491,0.5936908262503354,0.5529668818819288,0.5853265723024715,0.38330379917411883,0.12220059926481946,0.47791457199383836,4.0,4.0,4.0,4.0
290,36005040702,0.9110136137921171,0.8807543118286311,0.8590184862434672,0.24335126251307335,0.39775561097256856,0.16366155839257454,0.3973834832379395,0.17760557339422955,0.37265258215962443,0.5279159756771697,0.6200897867564534,0.6392785571142284,0.4065756340738759,0.5424188859579242,0.4546771720605994,0.452058265978336,0.5188052944672783,0.27365925376925565,0.414316657720252,0.5306352052321901,0.5423000463593514,0.5226111115605253,0.4150491151531304,0.12389524443470555,0.40007293714569453,3.0,3.0,3.0,3.0
291,36005040800,0.792233491914827,0.8891012116532017,0.8885169497152897,0.2847875890233577,0.4339152119700748,0.1523052829229495,0.4186426819296811,0.1764985452142766,0.42664319248826293,0.31398562741846325,0.3425925925925926,0.37245920412253075,0.37377906916580056,0.604608056990224,0.510602636422101,0.5519997712218887,0.49896415844899183,0.17661469533871701,0.3756303442227582,0.6650426801479599,0.5605084002878385,0.5626342954431106,0.4435065062218714,0.13280182546983474,0.4087466091610631,3.0,4.0,3.0,3.0
292,36005040900,0.8466728027538045,0.902174376319507,0.9976100211672543,0.3903829872005578,0.4837905236907731,0.30580768946941184,0.3205233033524121,0.25692327309399887,0.3714788732394366,0.31923714759535654,0.31200897867564537,0.2848554251359863,0.2852984372295365,0.22143326335502164,0.31951085404054913,0.5175531813557401,0.27424962552930604,0.33531362038046825,0.3218700241894034,0.2501664888008002,0.636121076356318,0.630822893409318,0.31688418882498354,0.10911208289040993,0.5894486270506506,2.0,2.0,3.0,2.0
293,36005041100,0.9390972737322695,0.9689618747218725,0.9189341910638898,0.34807510334179986,0.34663341645885287,0.21341598406021695,0.437448896156991,0.2024644417911832,0.4289906103286385,0.2609176340519624,0.24803591470258138,0.27827082736902375,0.22563330557018194,0.46865598842929324,0.45414292361821235,0.49703452508343093,0.6887306459131488,0.21906412600404285,0.309730752472115,0.7802055186340171,0.5431118733968024,0.5424946366197588,0.3633353042208433,0.1385351160667844,0.46098524615837244,2.0,3.0,3.0,3.0
294,36005041300,0.9216416201761564,0.899603013335454,0.9138217489263846,0.28910802330793367,0.4077306733167082,0.1724104002164662,0.4170073589533933,0.1953643919459353,0.4137323943661972,0.7371475953565506,0.7727272727272727,0.7423418265101632,0.3442547547315674,0.5431723331387245,0.4550482513465945,0.45841720597403407,0.537426829554442,0.21646052039849578,0.3542178075952164,0.6347875721347817,0.5742284377749488,0.5490436834408698,0.44167833072883855,0.11390505747457207,0.39988058071413307,3.0,3.0,3.0,3.0
295,36005041400,0.8538553648028644,0.89802392071869,0.9746286947237671,0.3781687335026645,0.46384039900249374,0.20017382890971555,0.4276369582992641,0.2225764197201711,0.46830985915492956,0.26064123825317853,0.3021885521885522,0.3209275694245634,0.2833215182516244,0.4868023021475153,0.4485907074316723,0.5086161599236412,0.47020298878981787,0.15629800901795565,0.4082673055405003,0.6720716620535542,0.6210632509906884,0.6011018706138365,0.4424785689865732,0.12968563542169234,0.4385822276627163,2.0,3.0,3.0,3.0
